Timestamp,RPM,TPS,Analog Input 1,Analog Input 2,Analog Input 3,Analog Input 4,Analog Input 5
0.0,800,5.2,3.3,0.0,1.24,0.0,2.1
0.1,823,5.5,3.3,0.0,1.87,0.0,2.4
0.2,856,6.1,3.3,0.0,2.01,0.0,2.2
0.3,910,8.3,3.3,0.0,1.45,0.0,3.1
0.4,1050,12.7,3.3,0.0,1.98,0.0,3.8
0.5,1320,18.4,3.3,0.0,2.34,0.0,4.2
0.6,1780,27.6,3.3,0.0,2.11,0.0,5.0
0.7,2340,38.9,3.3,0.0,1.76,0.0,5.7
0.8,3100,52.3,3.3,0.0,2.45,0.0,6.1
0.9,3890,64.8,3.3,0.0,2.88,0.0,6.8
1.0,4520,73.2,3.3,0.0,3.12,0.0,7.2
1.1,5100,81.5,3.3,0.0,2.97,0.0,7.6
1.2,5780,88.3,3.3,0.0,3.34,0.0,8.1
1.3,6200,92.1,3.3,0.0,3.01,0.0,8.4
1.4,6540,95.4,3.3,0.0,2.78,0.0,8.7
1.5,6800,97.8,3.3,0.0,3.45,0.0,9.0
1.6,6950,99.1,3.3,0.0,3.22,0.0,9.1
1.7,7020,99.8,3.3,0.0,2.91,0.0,9.2
1.8,6800,98.2,3.3,0.0,3.67,0.0,9.0
1.9,6200,91.5,3.3,0.0,3.44,0.0,8.5
2.0,5400,78.3,3.3,0.0,3.11,0.0,7.8
2.1,4600,63.7,3.3,0.0,2.89,0.0,7.0
2.2,3800,49.2,3.3,0.0,2.56,0.0,6.2
2.3,3100,36.8,3.3,0.0,2.23,0.0,5.4
2.4,2500,26.4,3.3,0.0,1.98,0.0,4.7
2.5,2000,18.9,3.3,0.0,1.74,0.0,4.0
2.6,1600,13.2,3.3,0.0,1.51,0.0,3.4
2.7,1300,9.1,3.3,0.0,1.33,0.0,2.9
2.8,1050,6.7,3.3,0.0,1.18,0.0,2.5
2.9,850,5.4,3.3,0.0,1.09,0.0,2.2
3.0,800,5.1,3.3,0.0,1.05,0.0,2.1
